% Model:              ellipsoidsi3n4.mph
% Version:            COMSOL 4.4.0.150
% Date:               Jun 7 2015, 12:29
% Dimension:          3
% Nodes:              1253
% Expressions:        1
% Description:        Temperature
% Length unit:        m
% x                       y                        z                        T (K)
-1.4540062313599604E-6    1.188500244577341E-6     2.984104115136932E-7     300
-1.1239586017242882E-6    8.720947551391669E-7     2.758327737090831E-7     305.25851645287304
-1.2922628981829468E-6    8.627205301062476E-7     6.038938620285537E-7     302.7584602895265
-1.1427332405029262E-6    1.1545915939813303E-6    2.0682688902109533E-7    302.72514798599786
8.330207375077443E-7      -1.3231148539725068E-6   3.015817678029419E-7     303.337050252594
5.418761522749374E-7      -1.123451504199164E-6    0                        308.5226462150028
1.0305972589421365E-6     -1.5298633888180705E-6   5.763636966130755E-7     300
1.0664896235076457E-6     -1.2861806540633758E-6   5.352433735166254E-7     301.700103332906
5.763613436302312E-7      -1.2862989480286747E-6   2.9726855591312615E-7    305.3980648412663
7.93469487642766E-7       -1.6673789052985094E-6   5.641040385931692E-7     300
5.584777715160081E-7      -1.7357748132348816E-6   6.961933767749993E-7     300
6.636319299453289E-7      -1.4965296431966773E-6   4.606994470232605E-7     302.1988848945376
6.108660000448542E-7      -1.5112435747250629E-6   1.3392414838889838E-6    300
4.3003091357782557E-7     -1.3739024425857066E-6   1.0861137432322747E-6    302.1386237640857
8.349189342701289E-7      -1.403142846978122E-6    6.132126537758943E-7     301.9119890519523
8.260903158499799E-7      -1.5966976558648346E-6   8.166109944132882E-7     300
4.002486277778851E-7      -1.4668895480065803E-6   5.363994617154135E-7     303.31669773060827
2.660317988449811E-7      -1.3330360924547744E-6   2.992531693566535E-7     306.1347070223882
4.3082419591028853E-7     -1.4451029462660059E-6   8.347280474558369E-7     302.48834580501165
6.447212114189492E-7      -1.4347353988401886E-6   7.233471713685917E-7     302.21687504800116
-2.8411433747083775E-7    -4.5497412585310547E-7   4.6258844837880483E-7    328.34179135106814
-2.2755405333486024E-7    -7.408566090036205E-7    4.4261925704562213E-7    318.4226547080926
2.5233643371879605E-7     -1.0462547232446217E-6   2.9057722205071904E-7    311.4697773114968
6.096305901934463E-7      -1.0272792390524723E-6   2.1208945325412515E-7    309.25791906232274
